Name,Ingredients
Castillian Hot Chocolate ,"['1/2 cup  Cocoa powder', '1 cup  Sugar', '7 tsp  Cornstarch', '1/2 cup  Water', '1 qt  Milk', '1/2 cup  Cocoa powder', '1 cup  Sugar', '7 tsp  Cornstarch', '1/2 cup  Water', '1 qt  Milk']"
Champagne Cocktail ,"['Chilled  Champagne', '1 piece  Sugar', '2 dashes  Bitters', '1 twist of  Lemon peel', '1 dash Cognac', 'Chilled  Champagne', '1 piece  Sugar', '2 dashes  Bitters', '1 twist of  Lemon peel', '1 dash Cognac']"
Cherry Electric Lemonade ,"['1 oz Gin', '1 oz Tequila', '1 oz Vodka', '1 oz White rum', '1 oz Triple Sec', '1 oz Cherry Grenadine', '1 oz Sweet and sour', '3 oz Club soda', '1 oz Gin', '1 oz Tequila', '1 oz Vodka', '1 oz White rum', '1 oz Triple Sec', '1 oz Cherry Grenadine', '1 oz Sweet and sour', '3 oz Club soda']"
Cherry Rum ,"['1 1/4 oz  Light rum', '1 1/2 tsp  Cherry brandy', '1 tblsp  Light cream', '1 1/4 oz  Light rum', '1 1/2 tsp  Cherry brandy', '1 tblsp  Light cream']"
Chicago Fizz ,"['1 oz  Light rum', '1 oz  Port', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', '1  Egg white', ' Carbonated water', '1 oz  Light rum', '1 oz  Port', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', '1  Egg white', ' Carbonated water']"
Chocolate Beverage ,"['6 cups  Milk', '3 oz Mexican  Chocolate', '1 tsp powdered  Cinnamon', '3  Egg', '6 cups  Milk', '3 oz Mexican  Chocolate', '1 tsp powdered  Cinnamon', '3  Egg']"
Chocolate Black Russian ,"['1 oz  Kahlua', '1/2 oz  Vodka', '5 oz  Chocolate ice-cream', '1 oz  Kahlua', '1/2 oz  Vodka', '5 oz  Chocolate ice-cream']"
Chocolate Drink ,"['125 gr Chocolate', '3/4 L  Milk', ' Water', '125 gr Chocolate', '3/4 L  Milk', ' Water']"
Chocolate Milk ,"['1/2 shot  Chocolate liqueur', '1/2 shot  Milk', '1 dash  Amaretto', '1/2 shot  Chocolate liqueur', '1/2 shot  Milk', '1 dash  Amaretto']"
Chocolate Monkey ,"['1 shot  Banana liqueur', '2 shots  Creme de Cacao', '2 scoops  Chocolate ice-cream', '1 oz  Chocolate syrup', '4 oz  Chocolate milk', '1  Whipped cream', '1  Cherry', '1 piece  Banana', '1 shot  Banana liqueur', '2 shots  Creme de Cacao', '2 scoops  Chocolate ice-cream', '1 oz  Chocolate syrup', '4 oz  Chocolate milk', '1  Whipped cream', '1  Cherry', '1 piece  Banana']"
Citrus Coke ,"['1 part  Bacardi Limon', '2 parts  Coca-Cola', '1 part  Bacardi Limon', '2 parts  Coca-Cola']"
City Slicker ,"['2 oz  Brandy', '1/2 oz  Triple sec', '1 tblsp  Lemon juice', '2 oz  Brandy', '1/2 oz  Triple sec', '1 tblsp  Lemon juice']"
Classic Old-Fashioned ,"['3 dashes  Bitters', '1 tsp  Water', '1  Sugar', '3 oz  Bourbon', '1  Orange', '1  Maraschino cherry', '3 dashes  Bitters', '1 tsp  Water', '1  Sugar', '3 oz  Bourbon', '1  Orange', '1  Maraschino cherry']"
Clove Cocktail ,"['1 oz  Sweet Vermouth', '1/2 oz  Sloe gin', '1/2 oz Muscatel  Wine', '1 oz  Sweet Vermouth', '1/2 oz  Sloe gin', '1/2 oz Muscatel  Wine']"
Clover Club ,"['1 1/2 oz  Gin', '2 tsp  Grenadine', 'Juice of 1/2  Lemon', '1  Egg white', '1 1/2 oz  Gin', '2 tsp  Grenadine', 'Juice of 1/2  Lemon', '1  Egg white']"
Cocktail Horse’s Neck ,"['4 cl Cognac', '100 ml Ginger Beer', '3 drops Angostura Bitters', '1 Lemon Peel', '4 cl Cognac', '100 ml Ginger Beer', '3 drops Angostura Bitters', '1 Lemon Peel']"
Coffee Liqueur ,"['10 tblsp instant  Coffee', '4 tblsp  Vanilla extract', '2 1/2 cups  Sugar', '1 qt  Vodka', '2 1/2 cups  Water', '10 tblsp instant  Coffee', '4 tblsp  Vanilla extract', '2 1/2 cups  Sugar', '1 qt  Vodka', '2 1/2 cups  Water']"
Coffee-Vodka ,"['2 cups  Water', '2 cups white  Sugar', '1/2 cup instant  Coffee', '1/2 Vanilla', '1 1/2 cup Vodka', ' Caramel coloring', '2 cups  Water', '2 cups white  Sugar', '1/2 cup instant  Coffee', '1/2 Vanilla', '1 1/2 cup Vodka', ' Caramel coloring']"
Coke and Drops ,"['1 dl  Coca-Cola', '7 drops  Lemon juice', '1 dl  Coca-Cola', '7 drops  Lemon juice']"
Corn n Oil ,"['1/2 Lime', '1/3 oz Falernum', '2 dashes Angostura Bitters', '1 oz Añejo rum', '1 oz blackstrap rum', '1/2 Lime', '1/3 oz Falernum', '2 dashes Angostura Bitters', '1 oz Añejo rum', '1 oz blackstrap rum']"
Corpse Reviver ,"['3/4 oz Gin', '3/4 oz Triple Sec', '3/4 oz Lillet Blanc', '3/4 oz Lemon Juice', '1 dash Absinthe', '3/4 oz Gin', '3/4 oz Triple Sec', '3/4 oz Lillet Blanc', '3/4 oz Lemon Juice', '1 dash Absinthe']"
Cosmopolitan ,"['1 1/4 oz  Vodka', '1/4 oz  Lime juice', '1/4 oz  Cointreau', '1/4 cup  Cranberry juice', '1 1/4 oz  Vodka', '1/4 oz  Lime juice', '1/4 oz  Cointreau', '1/4 cup  Cranberry juice']"
Cosmopolitan Martini ,"['1/2 oz  Cointreau', '1 oz  Vodka', 'Juice of 1/2  Lime', '1 splash  Cranberry juice', '1/2 oz  Cointreau', '1 oz  Vodka', 'Juice of 1/2  Lime', '1 splash  Cranberry juice']"
Cranberry Cordial ,"['1/2 kg chopped  Cranberries', '3/4 L  Sugar', '1/2 L  Light rum', '1/2 kg chopped  Cranberries', '3/4 L  Sugar', '1/2 L  Light rum']"
Cranberry Punch ,"['4 cups  Cranberry juice', '1 1/2 cup  Sugar', '4 cups  Pineapple juice', '1 tblsp  Almond flavoring', '2 qt  Ginger ale', '4 cups  Cranberry juice', '1 1/2 cup  Sugar', '4 cups  Pineapple juice', '1 tblsp  Almond flavoring', '2 qt  Ginger ale']"
Cream Soda ,"['1 oz  Spiced rum', ' Ginger ale', '1 oz  Spiced rum', ' Ginger ale']"
Creme de Menthe ,"['8 cups  Sugar', '6 cups  Water', '1 pint  Grain alcohol', '1 oz pure  Peppermint extract', '1 tblsp green  Food coloring', '8 cups  Sugar', '6 cups  Water', '1 pint  Grain alcohol', '1 oz pure  Peppermint extract', '1 tblsp green  Food coloring']"
Cuba Libra ,"['1-2 shot  Dark rum', 'Squeeze  Lime', 'Fill with  Coca-Cola', ' Ice', '1-2 shot  Dark rum', 'Squeeze  Lime', 'Fill with  Coca-Cola', ' Ice']"
Cuba Libre ,"['2 oz  Light rum', 'Juice of 1/2  Lime', ' Coca-Cola', '2 oz  Light rum', 'Juice of 1/2  Lime', ' Coca-Cola']"
Daiquiri ,"['1 1/2 oz  Light rum', 'Juice of 1/2  Lime', '1 tsp  Powdered sugar', '1 1/2 oz  Light rum', 'Juice of 1/2  Lime', '1 tsp  Powdered sugar']"
Damned if you do ,"['0.75 oz  Whiskey', '0.25 oz  Hot Damn', '0.75 oz  Whiskey', '0.25 oz  Hot Damn']"
Danbooka ,"['3 parts  Coffee', '1 part  Everclear', '3 parts  Coffee', '1 part  Everclear']"
Dark and Stormy ,"['5 cl Dark Rum', '10 cl Ginger Beer', '5 cl Dark Rum', '10 cl Ginger Beer']"
Dark Caipirinha ,"['2 tsp  demerara Sugar', '1 Lime', '2 1/2 oz Cachaca', '2 tsp  demerara Sugar', '1 Lime', '2 1/2 oz Cachaca']"
Darkwood Sling ,"['1 part  Cherry Heering', '1 part  Soda water', '1 part  Orange juice', 'cubes Ice', '1 part  Cherry Heering', '1 part  Soda water', '1 part  Orange juice', 'cubes Ice']"
Death in the Afternoon ,"['2 shots Absinthe', 'Top Champagne', '2 shots Absinthe', 'Top Champagne']"
Derby ,"['6 cl gin', '2 dashes Peach Bitters', '2 Fresh leaves Mint', '6 cl gin', '2 dashes Peach Bitters', '2 Fresh leaves Mint']"
Diesel ,"['1/2 pint  Lager', '1/2 pint  Cider', '1 dash  Blackcurrant cordial', '1/2 pint  Lager', '1/2 pint  Cider', '1 dash  Blackcurrant cordial']"
Dirty Martini ,"['70ml/2fl oz Vodka', '1 tbsp Dry Vermouth', '2 tbsp Olive Brine', '1 wedge Lemon', '1 Olive', '70ml/2fl oz Vodka', '1 tbsp Dry Vermouth', '2 tbsp Olive Brine', '1 wedge Lemon', '1 Olive']"
Dirty Nipple ,"[' Kahlua', ' Sambuca', ' Baileys irish cream', ' Kahlua', ' Sambuca', ' Baileys irish cream']"
Downshift ,"['2 part  Fruit punch', '1 part  Sprite', '2 shots  Tequila', 'Float Bacardi  151 proof rum', '2 part  Fruit punch', '1 part  Sprite', '2 shots  Tequila', 'Float Bacardi  151 proof rum']"
Dragonfly ,"['1 1/2 oz  Gin', '4 oz  Ginger ale', '1  Lime', '1 1/2 oz  Gin', '4 oz  Ginger ale', '1  Lime']"
Drinking Chocolate ,"['2 oz  Heavy cream', '6-8 oz  Milk', '1 stick  Cinnamon', '1  Vanilla', '2 oz finely chopped dark  Chocolate', 'Fresh  Whipped cream', '2 oz  Heavy cream', '6-8 oz  Milk', '1 stick  Cinnamon', '1  Vanilla', '2 oz finely chopped dark  Chocolate', 'Fresh  Whipped cream']"
Dry Martini ,"['1 2/3 oz  Gin', '1/3 oz  Dry Vermouth', '1  Olive', '1 2/3 oz  Gin', '1/3 oz  Dry Vermouth', '1  Olive']"
Dry Rob Roy ,"['2 1/2 oz  Scotch', '1 1/2 tsp  Dry Vermouth', '1 twist of  Lemon peel', '2 1/2 oz  Scotch', '1 1/2 tsp  Dry Vermouth', '1 twist of  Lemon peel']"
Dubonnet Cocktail ,"['1 1/2 oz  Dubonnet Rouge', '3/4 oz  Gin', '1 dash  Bitters', '1 twist of  Lemon peel', '1 1/2 oz  Dubonnet Rouge', '3/4 oz  Gin', '1 dash  Bitters', '1 twist of  Lemon peel']"
Duchamp's Punch ,"['5 cl Pisco', '2.5 cl Lime Juice', '2.5 cl Pineapple Syrup', '1.5 cl St. Germain', '2 Dashes Angostura Bitters', 'Pinch Pepper', '2 sprigs Lavender', '5 cl Pisco', '2.5 cl Lime Juice', '2.5 cl Pineapple Syrup', '1.5 cl St. Germain', '2 Dashes Angostura Bitters', 'Pinch Pepper', '2 sprigs Lavender']"
Egg Cream ,"['2 tblsp  Chocolate syrup', '6 oz whole  Milk', '6 oz  Soda water', '2 tblsp  Chocolate syrup', '6 oz whole  Milk', '6 oz  Soda water']"
Egg Nog #4 ,"['6  Egg yolk', '1/4 cup  Sugar', '2 cups  Milk', '1/2 cup  Light rum', '1/2 cup  Bourbon', '1 tsp  Vanilla extract', '1/4 tsp  Salt', '1 cup  Whipping cream', '6  Egg white', '1/4 cup  Sugar', 'Ground  Nutmeg', '6  Egg yolk', '1/4 cup  Sugar', '2 cups  Milk', '1/2 cup  Light rum', '1/2 cup  Bourbon', '1 tsp  Vanilla extract', '1/4 tsp  Salt', '1 cup  Whipping cream', '6  Egg white', '1/4 cup  Sugar', 'Ground  Nutmeg']"
Egg Nog - Healthy ,"['1/2 cup  Egg', '3 tblsp  Sugar', '13 oz skimmed  Condensed milk', '3/4 cup skimmed  Milk', '1 tsp  Vanilla extract', '1 tsp  Rum', '\n Nutmeg', '1/2 cup  Egg', '3 tblsp  Sugar', '13 oz skimmed  Condensed milk', '3/4 cup skimmed  Milk', '1 tsp  Vanilla extract', '1 tsp  Rum', '\n Nutmeg']"
Egg-Nog - Classic Cooked ,"['6  Egg', '1/4 cup  Sugar', '1/4 tsp  Salt', '1 qt  Milk', '1 tsp  Vanilla extract', '6  Egg', '1/4 cup  Sugar', '1/4 tsp  Salt', '1 qt  Milk', '1 tsp  Vanilla extract']"
Elderflower Caipirinha ,"['60 ml Cachaca', '1 Lime', '3 cl Elderflower cordial', '60 ml Cachaca', '1 Lime', '3 cl Elderflower cordial']"
Empellón Cocina's Fat-Washed Mezcal ,"['2 oz Mezcal', '3/4 oz Chocolate liqueur', '1/2 oz Coffee liqueur', '2 oz Mezcal', '3/4 oz Chocolate liqueur', '1/2 oz Coffee liqueur']"
English Highball ,"['3/4 oz  Brandy', '3/4 oz  Gin', '3/4 oz  Sweet Vermouth', ' Carbonated water', ' Lemon peel', '3/4 oz  Brandy', '3/4 oz  Gin', '3/4 oz  Sweet Vermouth', ' Carbonated water', ' Lemon peel']"
English Rose Cocktail ,"['3/4 oz  Apricot brandy', '1 1/2 oz  Gin', '3/4 oz  Dry Vermouth', '1 tsp  Grenadine', '1/4 tsp  Lemon juice', '1  Cherry', '3/4 oz  Apricot brandy', '1 1/2 oz  Gin', '3/4 oz  Dry Vermouth', '1 tsp  Grenadine', '1/4 tsp  Lemon juice', '1  Cherry']"
Espresso Martini ,"['5 cl Vodka', '1 cl Kahlua', '1 dash Sugar syrup', '5 cl Vodka', '1 cl Kahlua', '1 dash Sugar syrup']"
Espresso Rumtini ,"['1 shot Rum', '1/2 shot Vanilla syrup', '1 shot Espresso', '1 shot Coffee', '1 shot Rum', '1/2 shot Vanilla syrup', '1 shot Espresso', '1 shot Coffee']"
Fahrenheit 5000 ,"['1/2 oz  Firewater', '1/2 oz  Absolut Peppar', '1 dash  Tabasco sauce', '1/2 oz  Firewater', '1/2 oz  Absolut Peppar', '1 dash  Tabasco sauce']"
Figgy Thyme ,"['2 oz Vodka', '1 tsp Honey', '3 Figs', '1 Sprig Thyme', '2 dashes Angostura Bitters', 'Top Tonic Water', '2 oz Vodka', '1 tsp Honey', '3 Figs', '1 Sprig Thyme', '2 dashes Angostura Bitters', 'Top Tonic Water']"
Flaming Dr. Pepper ,"['1 oz  Amaretto', '1 oz  Vodka', '1 oz Bacardi  151 proof rum', '1 oz  Dr. Pepper', '1 oz  Beer', '1 oz  Amaretto', '1 oz  Vodka', '1 oz Bacardi  151 proof rum', '1 oz  Dr. Pepper', '1 oz  Beer']"
Flaming Lamborghini ,"['1 oz  Kahlua', '1 oz  Sambuca', '1 oz  Blue Curacao', '1 oz  Baileys irish cream', '1 oz  Kahlua', '1 oz  Sambuca', '1 oz  Blue Curacao', '1 oz  Baileys irish cream']"
Flander's Flake-Out ,"['1/4 glass  Sambuca', '3/4 glass  Sarsaparilla', '1/4 glass  Sambuca', '3/4 glass  Sarsaparilla']"
Flying Dutchman ,"['2 oz  Gin', '1/2 oz  Triple sec', '2 oz  Gin', '1/2 oz  Triple sec']"
Flying Scotchman ,"['1 oz  Scotch', '1 oz  Sweet Vermouth', '1 dash  Bitters', '1/4 tsp  Sugar syrup', '1 oz  Scotch', '1 oz  Sweet Vermouth', '1 dash  Bitters', '1/4 tsp  Sugar syrup']"
Foxy Lady ,"['1/2 oz  Amaretto', '1/2 oz  Creme de Cacao', '2 oz  Light cream', '1/2 oz  Amaretto', '1/2 oz  Creme de Cacao', '2 oz  Light cream']"
Frappé ,"['1/2 cup black  Coffee', '1/2 cup  Milk', '1-2 tsp  Sugar', '1/2 cup black  Coffee', '1/2 cup  Milk', '1-2 tsp  Sugar']"
Freddy Kruger ,"['1/2 oz  Jägermeister', '1/2 oz  Sambuca', '1/2 oz  Vodka', '1/2 oz  Jägermeister', '1/2 oz  Sambuca', '1/2 oz  Vodka']"
French 75 ,"['1 1/2 oz  Gin', '2 tsp superfine  Sugar', '1 1/2 oz  Lemon juice', '4 oz Chilled  Champagne', '1  Orange', '1  Maraschino cherry', '1 1/2 oz  Gin', '2 tsp superfine  Sugar', '1 1/2 oz  Lemon juice', '4 oz Chilled  Champagne', '1  Orange', '1  Maraschino cherry']"
French Connection ,"['1 1/2 oz  Cognac', '3/4 oz  Amaretto', '1 1/2 oz  Cognac', '3/4 oz  Amaretto']"
French Martini ,"['4.5 cl Vodka', '1.5 cl Raspberry Liqueur', '1.5 cl pineapple juice', '4.5 cl Vodka', '1.5 cl Raspberry Liqueur', '1.5 cl pineapple juice']"
French Negroni ,"['1 oz Gin', '1 oz Lillet', '1 oz Sweet Vermouth', '1 Orange Peel', '1 oz Gin', '1 oz Lillet', '1 oz Sweet Vermouth', '1 Orange Peel']"
Frisco Sour ,"['2 oz  Blended whiskey', '1/2 oz  Benedictine', 'Juice of 1/4  Lemon', 'Juice of 1/2  Lime', '1 slice  Lemon', '1 slice  Lime', '2 oz  Blended whiskey', '1/2 oz  Benedictine', 'Juice of 1/4  Lemon', 'Juice of 1/2  Lime', '1 slice  Lemon', '1 slice  Lime']"
Frosé ,"['750 ml Rose', '1/2 cup Sugar', '8 oz Strawberries', '2-3 oz Lemon Juice', '750 ml Rose', '1/2 cup Sugar', '8 oz Strawberries', '2-3 oz Lemon Juice']"
Frozen Daiquiri ,"['1 1/2 oz  Light rum', '1 tblsp  Triple sec', '1 1/2 oz  Lime juice', '1 tsp  Sugar', '1  Cherry', '1 cup crushed  Ice', '1 1/2 oz  Light rum', '1 tblsp  Triple sec', '1 1/2 oz  Lime juice', '1 tsp  Sugar', '1  Cherry', '1 cup crushed  Ice']"
Frozen Mint Daiquiri ,"['2 oz  Light rum', '1 tblsp  Lime juice', '6  Mint', '1 tsp  Sugar', '2 oz  Light rum', '1 tblsp  Lime juice', '6  Mint', '1 tsp  Sugar']"
Frozen Pineapple Daiquiri ,"['1 1/2 oz  Light rum', '4 chunks  Pineapple', '1 tblsp  Lime juice', '1/2 tsp  Sugar', '1 1/2 oz  Light rum', '4 chunks  Pineapple', '1 tblsp  Lime juice', '1/2 tsp  Sugar']"
Fruit Cooler ,"['1 can frozen  Apple juice', '1 cup  Strawberries', '2 tblsp  Sugar', '1  Lemon', '1  Apple', '1 L  Soda water', ' Ice', '1 can frozen  Apple juice', '1 cup  Strawberries', '2 tblsp  Sugar', '1  Lemon', '1  Apple', '1 L  Soda water', ' Ice']"
Fruit Flip-Flop ,"['1 cup  Yoghurt', '1 cup  Fruit juice', '1 cup  Yoghurt', '1 cup  Fruit juice']"
Fruit Shake ,"['1 cup fruit  Yoghurt', '1  Banana', '4 oz frozen  Orange juice', '1/2 piece textural  Fruit', '6  Ice', '1 cup fruit  Yoghurt', '1  Banana', '4 oz frozen  Orange juice', '1/2 piece textural  Fruit', '6  Ice']"
Funk and Soul ,"['2 shots Rum', '1 shot Apricot Nectar', '1 shot Pomegranate juice', 'Juice of 1/2 lemon', 'Top Soda Water', '2 shots Rum', '1 shot Apricot Nectar', '1 shot Pomegranate juice', 'Juice of 1/2 lemon', 'Top Soda Water']"
Fuzzy Asshole ,"['1/2  Coffee', '1/2  Peach schnapps', '1/2  Coffee', '1/2  Peach schnapps']"
Gagliardo ,"['5 parts  Peach Vodka', '3 parts  Lemon juice', '1 part  Galliano', '1 part  Sirup of roses', '5 parts  Peach Vodka', '3 parts  Lemon juice', '1 part  Galliano', '1 part  Sirup of roses']"
Garibaldi Negroni ,"['30 ml Gin', '30 ml Campari', '90 ml Orange Juice', 'Garnish with Orange Peel', '30 ml Gin', '30 ml Campari', '90 ml Orange Juice', 'Garnish with Orange Peel']"
Gentleman's Club ,"['1 1/2 oz  Gin', '1 oz  Brandy', '1 oz  Sweet Vermouth', '1 oz  Club soda', '1 1/2 oz  Gin', '1 oz  Brandy', '1 oz  Sweet Vermouth', '1 oz  Club soda']"
GG ,"['2 1/2 shots  Galliano', ' Ginger ale', ' Ice', '2 1/2 shots  Galliano', ' Ginger ale', ' Ice']"
Gideon's Green Dinosaur ,"['1/2 oz  Dark rum', '1/2 oz  Vodka', '1/2 oz  Triple sec', '1/2 oz  Tequila', '1/2 oz  Melon liqueur', 'Fill with  Mountain Dew', '1/2 oz  Dark rum', '1/2 oz  Vodka', '1/2 oz  Triple sec', '1/2 oz  Tequila', '1/2 oz  Melon liqueur', 'Fill with  Mountain Dew']"
Gimlet ,"['2 1/2 oz Gin', '1/2 oz Lime Juice', '1/2 oz Sugar Syrup', '1 Lime', '2 1/2 oz Gin', '1/2 oz Lime Juice', '1/2 oz Sugar Syrup', '1 Lime']"
Gin and Soda ,"['2 oz Gin', '5 oz Soda Water', '1/4 Lime', '2 oz Gin', '5 oz Soda Water', '1/4 Lime']"
Gin And Tonic ,"['2 oz  Gin', '5 oz  Tonic water', '1  Lime', '2 oz  Gin', '5 oz  Tonic water', '1  Lime']"
Gin Basil Smash ,"['6 cl Gin', '2 cl Lemon Juice', '2 cl Sugar Syrup', 'Whole Basil', '6 cl Gin', '2 cl Lemon Juice', '2 cl Sugar Syrup', 'Whole Basil']"
Gin Cooler ,"['2 oz  Gin', ' Carbonated water', ' Powdered sugar', ' Orange spiral', ' Lemon peel', '2 oz  Gin', ' Carbonated water', ' Powdered sugar', ' Orange spiral', ' Lemon peel']"
Gin Daisy ,"['2 oz  Gin', '1 oz  Lemon juice', '1/2 tsp superfine  Sugar', '1/2 tsp  Grenadine', '1  Maraschino cherry', '1  Orange', '2 oz  Gin', '1 oz  Lemon juice', '1/2 tsp superfine  Sugar', '1/2 tsp  Grenadine', '1  Maraschino cherry', '1  Orange']"
Gin Fizz ,"['2 oz  Gin', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', ' Carbonated water', '2 oz  Gin', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', ' Carbonated water']"
Gin Lemon ,"['6 cl Gin', '8 cl Lemon Juice', '1 Slice Lemon Peel', 'cubes Ice', '6 cl Gin', '8 cl Lemon Juice', '1 Slice Lemon Peel', 'cubes Ice']"
Gin Rickey ,"['2 oz  Gin', '1 tsp  Grenadine', 'Juice of 1/2  lemon', 'Top up with Soda Water', 'Garnish Lime', '2 oz  Gin', '1 tsp  Grenadine', 'Juice of 1/2  lemon', 'Top up with Soda Water', 'Garnish Lime']"
Gin Sling ,"['2 oz  Gin', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', '1 tsp  Water', 'Twist of  Orange peel', '2 oz  Gin', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', '1 tsp  Water', 'Twist of  Orange peel']"
Gin Smash ,"['2 oz  Gin', '1 oz  Carbonated water', '1 cube  Sugar', '4  Mint', '1 slice  Orange', '1  Cherry', '2 oz  Gin', '1 oz  Carbonated water', '1 cube  Sugar', '4  Mint', '1 slice  Orange', '1  Cherry']"
Gin Sour ,"['2 oz  Gin', '1 oz  Lemon juice', '1/2 tsp superfine  Sugar', '1  Orange', '1  Maraschino cherry', '2 oz  Gin', '1 oz  Lemon juice', '1/2 tsp superfine  Sugar', '1  Orange', '1  Maraschino cherry']"
Gin Squirt ,"['1 1/2 oz  Gin', '1 tsp  Grenadine', '1 tblsp  Powdered sugar', '3 chunks Pineapple', '2  Strawberries', ' Carbonated water', '1 1/2 oz  Gin', '1 tsp  Grenadine', '1 tblsp  Powdered sugar', '3 chunks Pineapple', '2  Strawberries', ' Carbonated water']"
Gin Swizzle ,"['1 1/2 oz  Lime juice', '1 tsp superfine  Sugar', '2 oz  Gin', '1 dash  Bitters', '3 oz  Club soda', '1 1/2 oz  Lime juice', '1 tsp superfine  Sugar', '2 oz  Gin', '1 dash  Bitters', '3 oz  Club soda']"
Gin Toddy ,"['2 oz  Gin', '2 tsp  Water', '1/2 tsp  Powdered sugar', '1 twist of  Lemon peel', '2 oz  Gin', '2 tsp  Water', '1/2 tsp  Powdered sugar', '1 twist of  Lemon peel']"
Gin Tonic ,"['4 cl Gin', '10 cl Tonic Water', '1 Slice Lemon Peel', 'cubes Ice', '4 cl Gin', '10 cl Tonic Water', '1 Slice Lemon Peel', 'cubes Ice']"
Girl From Ipanema ,"['25 ml Cachaca', '15 ml Lemon Juice', '10 ml Agave Syrup', 'top up with Champagne', '25 ml Cachaca', '15 ml Lemon Juice', '10 ml Agave Syrup', 'top up with Champagne']"
Gluehwein ,"['1 L  Red wine', '125 ml  Water', '60 gr  Sugar', '1  Cinnamon', '3  Cloves', '1 tblsp  Lemon peel', '1 L  Red wine', '125 ml  Water', '60 gr  Sugar', '1  Cinnamon', '3  Cloves', '1 tblsp  Lemon peel']"
Godchild ,"['1 oz  Vodka', '1 oz  Amaretto', '1 oz  Heavy cream', '1 oz  Vodka', '1 oz  Amaretto', '1 oz  Heavy cream']"
Godfather ,"['1 1/2 oz  Scotch', '3/4 oz  Amaretto', '1 1/2 oz  Scotch', '3/4 oz  Amaretto']"
Godmother ,"['1 1/2 oz  Vodka', '3/4 oz  Amaretto', '1 1/2 oz  Vodka', '3/4 oz  Amaretto']"
Golden dream ,"['2 parts Galliano', '2 parts Triple Sec', '2 parts orange juice', '1 part Cream', '2 parts Galliano', '2 parts Triple Sec', '2 parts orange juice', '1 part Cream']"
Grand Blue ,"['1 1/2 cl  Malibu rum', '1 1/2 cl  Peach schnapps', '1 1/2 cl  Blue Curacao', '3 cl  Sweet and sour', '1 1/2 cl  Malibu rum', '1 1/2 cl  Peach schnapps', '1 1/2 cl  Blue Curacao', '3 cl  Sweet and sour']"
Grape lemon pineapple Smoothie ,"['1 cup  Grapes', '1/4  Lemon', '1/2  Pineapple', '1 cup  Grapes', '1/4  Lemon', '1/2  Pineapple']"
Grass Skirt ,"['1 1/2 oz  Gin', '1 oz  Triple sec', '1 oz  Pineapple juice', '1/2 tsp  Grenadine', '1  Pineapple', '1 1/2 oz  Gin', '1 oz  Triple sec', '1 oz  Pineapple juice', '1/2 tsp  Grenadine', '1  Pineapple']"
Grasshopper ,"['3/4 oz  Green Creme de Menthe', '3/4 oz white  Creme de Cacao', '3/4 oz  Light cream', '3/4 oz  Green Creme de Menthe', '3/4 oz white  Creme de Cacao', '3/4 oz  Light cream']"
Green Goblin ,"['1/2 pint hard  Cider', '1/2 pint  Lager', '1 shot  Blue Curacao', '1/2 pint hard  Cider', '1/2 pint  Lager', '1 shot  Blue Curacao']"
Greyhound ,"['1 1/2 oz Vodka', '3 oz Grapefruit Juice', '1 1/2 oz Vodka', '3 oz Grapefruit Juice']"
Grim Reaper ,"['1 oz  Kahlua', '1 oz Bacardi  151 proof rum', '1 dash  Grenadine', '1 oz  Kahlua', '1 oz Bacardi  151 proof rum', '1 dash  Grenadine']"
Grizzly Bear ,"['1 part  Amaretto', '1 part  Jägermeister', '1 part  Kahlua', '2 1/2 parts  Milk', '1 part  Amaretto', '1 part  Jägermeister', '1 part  Kahlua', '2 1/2 parts  Milk']"
H.D. ,"['4 cl  Whisky', '8 cl  Baileys irish cream', ' Coffee', '4 cl  Whisky', '8 cl  Baileys irish cream', ' Coffee']"
Halloween Punch ,"['1 bottle Cherry Juice', '3 Orange Peel', '1 Red Chili Flakes', '10 Cloves', '6 Ginger', '20 cl Vodka', '1 bottle Cherry Juice', '3 Orange Peel', '1 Red Chili Flakes', '10 Cloves', '6 Ginger', '20 cl Vodka']"
Happy Skipper ,"['1 1/2 cl  Spiced rum', ' Ginger ale', ' Lime', ' Ice', '1 1/2 cl  Spiced rum', ' Ginger ale', ' Lime', ' Ice']"
Harvey Wallbanger ,"['1 oz  Vodka', '1/2 oz  Galliano', '4 oz  Orange juice', '1 oz  Vodka', '1/2 oz  Galliano', '4 oz  Orange juice']"
Havana Cocktail ,"['1 oz  Light rum', '1 oz  Pineapple juice', '1 tsp  Lemon juice', '1 oz  Light rum', '1 oz  Pineapple juice', '1 tsp  Lemon juice']"
Hawaiian Cocktail ,"['2 oz  Gin', '1/2 oz  Triple sec', '1 tblsp  Pineapple juice', '2 oz  Gin', '1/2 oz  Triple sec', '1 tblsp  Pineapple juice']"
Hemingway Special ,"['12 parts Rum', '8 parts Grapefruit Juice', '3 parts Maraschino Liqueur', '3 parts Lime Juice', '12 parts Rum', '8 parts Grapefruit Juice', '3 parts Maraschino Liqueur', '3 parts Lime Juice']"
